LCA_CASE_EMPLOYMENT_START_DATE,LCA_CASE_EMPLOYMENT_END_DATE,LCA_CASE_EMPLOYER_NAME,LCA_CASE_EMPLOYER_ADDRESS,LCA_CASE_EMPLOYER_CITY,LCA_CASE_EMPLOYER_STATE,LCA_CASE_EMPLOYER_POSTAL_CODE,LCA_CASE_SOC_CODE,LCA_CASE_SOC_NAME,LCA_CASE_JOB_TITLE,LCA_CASE_WAGE_RATE_FROM,LCA_CASE_WAGE_RATE_TO,LCA_CASE_WAGE_RATE_UNIT,FULL_TIME_POS,TOTAL_WORKERS,LCA_CASE_WORKLOC1_CITY,LCA_CASE_WORKLOC1_STATE,PW_1,PW_UNIT_1,PW_SOURCE_1,OTHER_WAGE_SOURCE_1,YR_SOURCE_PUB_1
9/29/11,9/28/14,ZYNGA INC.,444 DE HARO STREET,SAN FRANCISCO,CA,94107,15-1121,Computer Systems Analysts,SENIOR PRODUCT MANAGER,90000,150000,Year,Y,1,SAN FRANCISCO,CA,77709,Year,OES,OFLC ONLINE DATA CENTER,2011
10/1/11,9/30/13,PROHEALTH HOMECARE INC.,2700 ZANKER RD. #180,SAN JOSE,CA,95134,13-2051,Financial Analysts,FINANCIAL  ANALYST,64064,NA,Year,Y,1,SAN JOSE,CA,64064,Year,OES,OFLC ONLINE DATA CENTER,2011
9/29/11,9/28/14,ZYNGA INC.,444 DE HARO STREET,SAN FRANCISCO,CA,94107,15-2031,Operations Research Analysts,OPTIMIZATION ANALYST,75130,1.00E+05,Year,Y,1,SAN FRANCISCO,CA,75130,Year,OES,OFLC ONLINE DATA CENTER,2011
10/1/11,10/1/14,"HCL AMERICA, INC.",330 POTRERO AVENUE,SUNNYVALE,CA,94085,15-1121,Computer Systems Analysts,SYSTEMS ANALYST,53061,90000,Year,Y,30,AUSTIN,TX,53061,Year,Other,OFLC ONLINE DATACENTER,2011
10/1/11,10/1/14,"HCL AMERICA, INC.",330 POTRERO AVENUE,SUNNYVALE,CA,94085,15-1131,Computer Programmers,PROGRAMMER ANALYST,45178,90000,Year,Y,15,WEST GREENWICH,RI,45178,Year,Other,OFLC ONLINE DATA CENTER,2011
10/1/11,10/1/14,"HCL AMERICA, INC.",330 POTRERO AVENUE,SUNNYVALE,CA,94085,15-1141,Database Administrators,DATABASE ADMINISTRATOR,50960,80000,Year,Y,5,ATLANTA,GA,50960,Year,Other,OFLC ONLINE DATACENTER,2011
10/1/11,10/1/14,"HCL AMERICA, INC.",330 POTRERO AVENUE,SUNNYVALE,CA,94085,15-1142,Network and Computer Systems Administrators*,NETWORK ADMINISTRATOR,60611,1.00E+05,Year,Y,5,PRINCETON,NJ,60611,Year,Other,OFLC ONLINE DATACENTER,2011
10/1/11,10/1/14,"HCL AMERICA, INC.",330 POTRERO AVENUE,SUNNYVALE,CA,94085,15-1121,Computer Systems Analysts,SYSTEMS ANALYST,54475,90000,Year,Y,5,RALEIGH,NC,54475,Year,Other,OFLC ONLINE DATACENTER,2011
2/9/12,2/8/15,"THE GAP, INC.","2 FOLSOM STREET, 6TH FLOOR",SAN FRANCISCO,CA,94105,27-1022,Fashion Designers,DESIGNER OUTERWEAR,81453,131200,Year,Y,1,MANHATTAN,NY,81453,Year,OES,OFLC ONLINE DATA CENTER,2011
10/24/11,10/23/14,MOZILLA CORPORATION,"650 CASTRO STREET, STE. 300",MOUNTAIN VIEW,CA,94041,15-1132,"Software Developers, Applications",SOFTWARE ENGINEER,99653,110000,Year,Y,1,SAN FRANCISCO,CA,92019,Year,OES,OFLC ONLINE DATA CENTER,2011
10/1/11,10/1/14,"HCL AMERICA, INC.",330 POTRERO AVENUE,SUNNYVALE,CA,94085,15-1121,Computer Systems Analysts,SYSTEMS ANALYST,43763,90000,Year,Y,5,OKLAHOMA CITY,OK,43763,Year,Other,OFLC ONLINE DATACENTER,2011
10/4/11,10/3/14,"PAYPAL, INC.",2211 NORTH FIRST STREET,SAN JOSE,CA,95131,21-Nov,Computer and Information Systems Managers,SOFTWARE DEVELOPMENT MANAGER,119364,119364,Year,Y,1,SAN JOSE,CA,107323,Year,Other,RADFORD GLOBAL TECHNOLOGY SURVEY,2011
3/27/12,3/27/15,"BRIGHTERION, INC.",150 SPEAR STREET,SAN FRANCISCO,CA,94105,15-1179,"Information Security Analysts, Web Developers, and",COMPUTER SECURITY SPECIALIST (QA ENGINEER),57138,NA,Year,Y,1,SAN FRANCISCO,CA,57138,Year,OES,OFLC ONLINE DATA CENTER,2011
12/6/11,12/5/14,SEAGATE US LLC,10200 SOUTH DE ANZA BLVD.,CUPERTINO,CA,95014,15-1133,"Software Developers, Systems Software",STAFF ENGINEER,109600,NA,Year,Y,1,SCOTTS VALLEY,CA,108410,Year,OES,OFLC ONLINE DATA CENTER,2011
10/1/11,9/30/14,"FITBIT, INC.","625 MARKET STREET, SUITE 1400",SAN FRANCISCO,CA,94105,15-1132,"Software Developers, Applications",SOFTWARE ENGINEER,1.00E+05,NA,Year,Y,4,SAN FRANCISCO,CA,92019,Year,OES,OFLC ONLINE DATA CENTER,2011
10/3/11,10/3/14,TALEO CORPORATION,4140 DUBLIN BLVD.,DUBLIN,CA,94568,15-1121,Computer Systems Analysts,BUSINESS SYSTEMS ANALYST IV,101100,133000,Year,Y,1,DUBLIN,CA,101100,Year,Other,TOWERS WATSON: PROFESSIONAL SPECIALIZED SERVICES PERSONNEL,2010
10/1/11,10/1/14,"HCL AMERICA, INC.",330 POTRERO AVENUE,SUNNYVALE,CA,94085,15-1121,Computer Systems Analysts,SYSTEMS ANALYST,50939,1.00E+05,Year,Y,10,ROSEMONT,IL,50939,Year,Other,OFLC ONLINE DATACENTER,2011
10/1/11,9/30/14,"RIOT GAMES, INC.","2450 BROADWAY, SUITE 100",SANTA MONICA,CA,90404,27-1014,Multimedia Artists and Animators,ASSOCIATE GAME DESIGNER,55000,NA,Year,Y,1,SANTA MONICA,CA,44262,Year,OES,OFLC ONLINE DATA CENTER,2011
10/1/11,10/1/14,"HCL AMERICA, INC.",330 POTRERO AVENUE,SUNNYVALE,CA,94085,15-1131,Computer Programmers,PROGRAMMER ANALYST,50128,1.00E+05,Year,Y,10,ROSEMONT,IL,50128,Year,Other,OFLC ONLINE DATACENTER,2011
10/15/11,10/15/14,"TANGOME, INC.",1816 EMBARCADERO ROAD,PALO ALTO,CA,94303,15-1132,"Software Developers, Applications",SOFTWARE ENGINEER,95000,NA,Year,Y,1,PALO ALTO,CA,82930,Year,OES,OFLC ONLINE DATA CENTER,2011
3/15/12,3/15/15,MINDJET LLC,1160 BATTERY STREET,SAN FRANCISCO,CA,94111,15-1799,"Computer Occupations, All Other*",IT SYSTEMS ENGINEER,54246,54246,Year,Y,1,SAN FRANCISCO,CA,54246,Year,OES,OFLC ONLINE DATA CENTER,2011
10/1/11,9/30/14,"SMARTPLAY, INC.","2680 N FIRST STREET, SUITE 130",SAN JOSE,CA,95134,17-2072,"Electronics Engineers, Except Computer",ASIC DESIGN VERIFICATION ENGINEER,76500,NA,Year,Y,1,SAN JOSE,CA,76128,Year,OES,OFLC ONLINE DATA CENTER,2011
10/3/11,10/3/14,"NETWORK EQUIPMENT TECHNOLOGIES, INC.",6900 PASEO PADRE PARKWAY,FREMONT,CA,94555,15-1132,"Software Developers, Applications",PRINCIPAL SOFTWARE ENGINEER,100714,130000,Year,Y,1,FREMONT,CA,100714,Year,OES,OFLC ONLINE DATA CENTER,2011
12/5/11,12/5/14,GLOBALFOUNDRIES U.S. INC.,840 N. MCCARTHY BLVD.,MILPITAS,CA,95035,17-2112,Industrial Engineers,SENIOR MANUFACTURING ENGINEER,81910,117500,Year,Y,1,MALTA,NY,81910,Year,OES,OFLC ONLINE DATA CENTER,2011
10/1/11,9/30/14,CHEVRON CORPORATION,6001 BOLLINGER CANYON ROAD,SAN RAMON,CA,94583,17-2171,Petroleum Engineers,PETROLEUM ENGINEER,94764.36,NA,Year,Y,1,BAKERSFIELD,CA,72925,Year,OES,OFLC ONLINE DATA CENTER,2011
10/1/11,10/1/14,"DIGITAL DEPLOYMENT, INC.","980 NINTH STREET, 16TH FLOOR",SACRAMENTO,CA,95814,15-1132,"Software Developers, Applications",SOFTWARE ENGINEER,32.06,38.46,Hour,N,1,SACRAMENTO,CA,32.06,Hour,OES,OFLC ONLINE DATA CENTER,2011
10/1/11,10/1/14,CHEVRON CORPORATION,6001 BOLLINGER CANYON ROAD,SAN RAMON,CA,94583,17-1022,Surveyors,SUBSEA SURVEY ENGINEER,74500,NA,Year,Y,1,HOUSTON,TX,43160,Year,OES,OFLC ONLINE DATA CENTER,2011
9/27/11,9/27/14,"OMNICELL, INC.",1201 CHARLESTON ROAD,MOUNTAIN VIEW,CA,94043,15-1799,"Computer Occupations, All Other*","ENGINEER, SOFTWARE QUALITY",75097.13,NA,Year,Y,1,MOUNTAIN VIEW,CA,68046,Year,Other,RADFORD GLOBAL TECHNOLOGY SURVEY,2011
10/1/11,9/30/14,JACOBS ASSOCIATES,465 CALIFORNIA STREET,SAN FRANCISCO,CA,94104,17-2051,Civil Engineers,CIVIL ENGINEER,76000,NA,Year,Y,1,SAN FRANCISCO,CA,67038,Year,OES,OFLC ONLINE DATA CENTER,2011
10/1/11,9/30/14,"RIOT GAMES, INC.","2450 BROADWAY, SUITE 100",SANTA MONICA,CA,90404,13-1199,"Business Operations Specialists, All Other*",SENIOR BUSINESS DEVELOPMENT MANAGER,65000,NA,Year,Y,1,SANTA MONICA,CA,39582,Year,OES,OFLC ONLINE DATA CENTER,2011
10/15/11,10/14/14,"TESLA MOTORS, INC.",3500 DEER CREEK ROAD,PALO ALTO,CA,94304,17-2141.00,Mechanical Engineers,MANUFACTURING ENGINEER,74402,87069,Year,Y,1,FREMONT,CA,74402,Year,OES,OFLC ONLINE DATA CENTER,2011
11/17/11,11/17/14,"NESTLÄ USA, INC.",800 NORTH BRAND BOULEVARD,GLENDALE,CA,91203,15-1121,Computer Systems Analysts,ANALYST SYSTEMS,1.00E+05,120000,Year,Y,1,GLENDALE,CA,84822,Year,OES,OFLC ONLINE DATA CENTER,2011
12/1/11,11/30/14,JAMES HARDIE BUILDING PRODUCTS INC.,"26300 LA ALAMEDA, SUITE 400",MISSION VIEJO,CA,92691,17-2112,Industrial Engineers,INDUSTRIAL SYSTEMS ENGINEER,55016,NA,Year,Y,1,PULASKI,VA,55016,Year,Other,OFLC ONLINE DATA CENTER,2011
12/5/11,12/5/14,GLOBALFOUNDRIES U.S. INC.,840 N. MCCARTHY BLVD.,MILPITAS,CA,95035,17-2072,"Electronics Engineers, Except Computer",MTS QUALITY ENGINEER,83000,145500,Year,Y,1,MALTA,NY,82243,Year,OES,OFLC ONLINE DATA CENTER,2011
11/7/11,11/7/14,"ADVANCED MICRO DEVICES, INC.","ONE AMD PLACE, M/S 68",SUNNYVALE,CA,94088,17-2072,"Electronics Engineers, Except Computer",DESIGN ENGINEER 2,74464,107250,Year,Y,1,AUSTIN,TX,74464,Year,OES,OFLC ONLINE DATA CENTER,2011
12/12/11,12/11/14,GOOGLE INC.,1600 AMPHITHEATRE PARKWAY,MOUNTAIN VIEW,CA,94043,15-1132,"Software Developers, Applications",SOFTWARE ENGINEER,127000,NA,Year,Y,1,KIRKLAND,WA,96720,Year,OES,OFLC ONLINE DATA CENTER,2011
10/1/11,9/30/14,"MED-IMPACT HEALTH CARE SYSTEMS, INC.",10680 TREENA STREET,SAN DIEGO,CA,92131,15-1133,"Software Developers, Systems Software",SOFTWARE QA ENGINEER IV,100500,NA,Year,Y,1,SAN DIEGO,CA,98654,Year,OES,OFLC ONLINE DATA CENTER,2011
9/27/11,9/25/14,"AMYLIN PHARMACEUTICALS, INC.",9360 TOWNE CENTRE DRIVE,SAN DIEGO,CA,92121,15-1121,Computer Systems Analysts,SENIOR ANALYST GLOBAL SAFETY,72000,NA,Year,Y,1,SAN DIEGO,CA,70034,Year,OES,OFLC ONLINE DATA SURVEY,2011
11/7/11,11/7/14,"ADVANCED MICRO DEVICES, INC.","ONE AMD PLACE, M/S 68",SUNNYVALE,CA,94088,17-2072,"Electronics Engineers, Except Computer",SENIOR DESIGN ENGINEER,77600,126100,Year,Y,1,AUSTIN,TX,74464,Year,OES,OFLC ONLINE DATA CETNER,2011
10/5/11,9/30/14,"FLEXTRONICS INTERNATIONAL USA, INC.",847 GIBRALTAR DRIVE,MILPITAS,CA,95035,15-1121,Computer Systems Analysts,BUSINESS SYSTEMS ANALYST,38.8,40.86,Hour,Y,1,AUSTIN,TX,38.8,Hour,OES,OFLC ONLINE DATA CENTER,2011
10/31/11,10/30/14,DREAMWORKS ANIMATION LLC,1000 FLOWER ST.,GLENDALE,CA,91201,27-1014,Multimedia Artists and Animators,VISUAL DEVELOPMENT ARTIST,41.96,NA,Hour,Y,1,GLENDALE,CA,39.02,Hour,CBA,COLLECTIVE BARGAINING AGREEMENT,2010
10/5/11,10/4/14,"FLEXTRONICS INTERNATIONAL USA, INC.","847 GIBRALTAR AVENUE, BLDG. 5",MILPITAS,CA,95035,17-2112,Industrial Engineers,LEAN ENGINEER,32.98,NA,Hour,Y,1,MILPITAS,CA,32.98,Hour,OES,OFLC ONLINE DATA CENTER,2011
11/1/11,8/31/12,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO","1675 OWENS STREET, CC-290",SAN FRANCISCO,CA,94143,19-1021,Biochemists and Biophysicists,ASSOCIATE SPECIALIST,52354,NA,Year,Y,1,SAN FRANCISCO,CA,52354,Year,OES,OFLC ONLINE DATA CENTER,2011
10/1/11,10/1/14,"HCL AMERICA, INC.",330 POTRERO AVENUE,SUNNYVALE,CA,94085,15-1121,Computer Systems Analysts,SYSTEMS ANALYST,56909,87000,Year,Y,1,PORTLAND,OR,56909,Year,Other,OFLC ONLINE DATACENTER,2011
10/14/11,10/13/14,QUALCOMM INCORPORATED,5775 MOREHOUSE DRIVE,SAN DIEGO,CA,92121,15-1133,"Software Developers, Systems Software",SOFTWARE ENGINEER,83595,95520,Year,Y,1,SAN DIEGO,CA,83595,Year,OES,OFLC ONLINE DATA CENTER,2011
10/1/11,10/1/14,QLOGIC CORPORATION,26650 ALISO VIEJO PARKWAY,ALISO VIEJO,CA,92656,17-2071,Electrical Engineers,ENGINEER,80017.6,NA,Year,Y,1,MOUNTAIN VIEW,CA,74027,Year,OES,OFLC ONLINE DATA CENTER,2011
10/12/11,10/11/14,QUALCOMM INCORPORATED,5775 MOREHOUSE DRIVE,SAN DIEGO,CA,92121,15-1133,"Software Developers, Systems Software",SOFTWARE ENGINEER,83595,95380,Year,Y,1,SAN DIEGO,CA,83595,Year,OES,OFLC ONLINE DATA CENTER,2011
10/15/11,10/14/14,"VENDOR DIRECT SOLUTIONS, LLC","515 S. FIGUEROA ST., STE. 1900",LOS ANGELES,CA,90071,15-1133,"Software Developers, Systems Software",SYSTEMS DEVELOPER,70000,NA,Year,Y,1,LOS ANGELES,CA,69014,Year,Other,OFLC ONLINE DATA CENTER,2011
11/7/11,11/7/14,GLOBALFOUNDRIES U.S. INC.,840 N. MCCARTHY BLVD.,MILPITAS,CA,95035,17-2072,"Electronics Engineers, Except Computer",FAILURE/DEVICE ANALYSIS ENGINEER 2,71573,93000,Year,Y,1,MALTA,NY,71573,Year,OES,OFLC ONLINE DATA CENTER,2011
12/8/11,12/7/14,APPLIED MEDICAL RESOURCES CORP.,22872 AVENIDA EMPRESA,RANCHO SANTA MARGARITA,CA,92688,13-2011,Accountants and Auditors,SENIOR INTERNAL AUDITOR,90000,NA,Year,Y,1,IRVINE,CA,86320,Year,Other,OFLC ONLINE DATA CENTER,2011
10/17/11,10/17/14,MOODY'S ANALYTICS,405 HOWARD STREET,SAN FRANCISCO,CA,94105,15-1121,Computer Systems Analysts,CLIENT SERVICES AND SUPPORT ENGINEER (ASSISTANT DI,38.46,NA,Hour,N,1,CHICAGO,IL,30.42,Hour,OES,OFLC ONLINE DATA CENTER,2011
10/3/11,10/3/14,"BITGRAVITY, INC.",700 AIRPORT BLVD.,BURLINGAME,CA,94010,15-1132,"Software Developers, Applications",SOFTWARE ENGINEER,125000,NA,Year,Y,1,BURLINGAME,CA,107099,Year,OES,OFLC ONLINE DATA CENTER,2011
